Line,Gene,Sex,Time (s),
32372,Snr1,M,16.17,
32372,Snr1,M,17.16,
32372,Snr1,M,20.57,
32372,Snr1,M,21.30,
32372,Snr1,M,23.27,
32372,Snr1,M,23.73,
32372,Snr1,M,27.89,
32372,Snr1,M,28.03,
32372,Snr1,M,28.20,
32372,Snr1,M,28.49,
32372,Snr1,M,29.16,
32372,Snr1,M,29.87,
32372,Snr1,M,29.94,
32372,Snr1,M,30.31,
32372,Snr1,F,30.56,
32372,Snr1,M,30.85,
32372,Snr1,M,30.86,
32372,Snr1,M,30.91,
32372,Snr1,M,31.09,
32372,Snr1,M,31.19,
32372,Snr1,M,31.46,
32372,Snr1,M,31.61,
32372,Snr1,F,31.98,
32372,Snr1,M,32.22,
32372,Snr1,M,32.43,
32372,Snr1,M,32.70,
32372,Snr1,M,32.79,
32372,Snr1,M,33.06,
32372,Snr1,M,33.68,
32372,Snr1,M,33.95,
32372,Snr1,F,34.07,
32372,Snr1,M,34.68,
32372,Snr1,M,35.44,
32372,Snr1,F,36.66,
32372,Snr1,F,36.99,
32372,Snr1,F,37.41,
32372,Snr1,F,37.44,
32372,Snr1,M,37.65,
32372,Snr1,M,37.81,
32372,Snr1,M,37.89,
32372,Snr1,F,37.99,
32372,Snr1,M,38.01,
32372,Snr1,F,38.10,
32372,Snr1,M,38.28,
32372,Snr1,F,38.55,
32372,Snr1,F,38.71,
32372,Snr1,F,38.74,
32372,Snr1,F,39.00,
32372,Snr1,F,39.02,
32372,Snr1,F,39.43,
32372,Snr1,F,39.63,
32372,Snr1,F,40.15,
32372,Snr1,F,40.50,
32372,Snr1,F,40.53,
32372,Snr1,F,40.55,
32372,Snr1,F,40.59,
32372,Snr1,F,40.60,
32372,Snr1,F,40.64,
32372,Snr1,F,40.74,
32372,Snr1,F,41.23,
32372,Snr1,F,41.35,
32372,Snr1,F,41.53,
32372,Snr1,F,41.80,
32372,Snr1,F,42.11,
32372,Snr1,F,42.42,
32372,Snr1,F,42.77,
32372,Snr1,F,42.86,
32372,Snr1,F,43.10,
32372,Snr1,M,43.23,
32372,Snr1,F,43.35,
32372,Snr1,F,43.50,
32372,Snr1,F,43.67,
32372,Snr1,F,43.82,
32372,Snr1,F,43.98,
32372,Snr1,F,44.18,
32372,Snr1,F,44.26,
32372,Snr1,F,44.32,
32372,Snr1,F,44.32,
32372,Snr1,F,44.40,
32372,Snr1,F,44.53,
32372,Snr1,F,44.61,
32372,Snr1,F,44.62,
32372,Snr1,F,44.67,
32372,Snr1,F,45.00,
32372,Snr1,F,45.19,
32372,Snr1,F,45.24,
34351,SMC1,M,5.66,
34351,SMC1,M,5.73,
34351,SMC1,M,13.81,
34351,SMC1,M,15.54,
34351,SMC1,M,16.93,
34351,SMC1,F,18.05,
34351,SMC1,F,18.32,
34351,SMC1,M,18.58,
