Line,Gene,Sex,Tapping_observed
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,no
32372,Snr1,F,yes
32372,Snr1,F,yes
32372,Snr1,F,yes
32372,Snr1,F,yes
32372,Snr1,F,yes
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,no
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
32372,Snr1,M,yes
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
34351,SMC1,F,no
