lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
alpha,89.28,0.854844887,M,Snr1,32372,ubi156,65.539,0.627527767,0.741186327
alpha,70.447,0.709114701,M,Snr1,32372,ubi156,68.393,0.688439277,0.698776989
alpha,67.556,0.705317339,F,Snr1,32372,ubi156,64.524,0.673661791,0.689489565
alpha,65.889,0.659681618,M,Snr1,32372,ubi156,71.758,0.718442131,0.689061875
alpha,71.512,0.683998087,M,Snr1,32372,ubi156,68.441,0.654624582,0.669311335
alpha,68.738,0.658536118,M,Snr1,32372,ubi156,68.939,0.660461774,0.659498946
alpha,65.67,0.67192584,M,Snr1,32372,ubi156,62.719,0.641731639,0.65682874
alpha,58.553,0.618136712,M,Snr1,32372,ubi156,65.055,0.686777514,0.652457113
alpha,67.241,0.651433831,M,Snr1,32372,ubi156,65.593,0.635467933,0.643450882
alpha,66.114,0.651369458,M,Snr1,32372,ubi156,63.16,0.62226601,0.636817734
alpha,63.578,0.617441973,M,Snr1,32372,ubi156,67.486,0.655394775,0.636418374
alpha,80.613,0.682582557,F,Snr1,32372,ubi156,68.539,0.580347163,0.63146486
alpha,64.738,0.626880992,F,Snr1,32372,ubi156,64.813,0.627607243,0.627244118
alpha,61.588,0.605465985,F,Snr1,32372,ubi156,65.316,0.642115611,0.623790798
alpha,58.608,0.609661715,F,Snr1,32372,ubi156,61.003,0.634575376,0.622118546
alpha,72.379,0.648383051,M,Snr1,32372,ubi156,65.895,0.590298307,0.619340679
alpha,60.284,0.608695652,M,Snr1,32372,ubi156,60.815,0.614057231,0.611376442
alpha,62.886,0.588765097,F,Snr1,32372,ubi156,62.647,0.586527479,0.587646288
alpha,59.978,0.597509464,F,Snr1,32372,ubi156,57.617,0.573988842,0.585749153
alpha,58.269,0.548982476,F,Snr1,32372,ubi156,60.218,0.567345016,0.558163746
alpha,60.837,0.555639784,F,Snr1,32372,ubi156,61.172,0.558699425,0.557169605
alpha,68.048,0.554227073,F,Snr1,32372,ubi156,68.367,0.556825216,0.555526145
alpha,64.43,0.547827566,F,Snr1,32372,ubi156,65.069,0.553260777,0.550544172
alpha,78.065,0.57430295,F,Snr1,32372,ubi156,71.263,0.524262488,0.549282719
alpha,58.966,0.577475272,M,Snr1,32372,ubi156,52.225,0.511458231,0.544466752
alpha,59.859,0.52119286,M,Snr1,32372,ubi156,64.907,0.565145842,0.543169351
alpha,67.153,0.541774909,M,Snr1,32372,ubi156,67.278,0.54278338,0.542279145
alpha,56.663,0.526216568,M,Snr1,32372,ubi156,60.092,0.558060921,0.542138745
alpha,70.666,0.522600207,M,Snr1,32372,ubi156,75.445,0.557942612,0.54027141
alpha,63.49,0.546009632,F,Snr1,32372,ubi156,62.057,0.533685931,0.539847782
beta,51.769,0.52969284,M,Snr1,32372,ubi156,53.455,0.546943745,0.538318293
alpha,54.22,0.478848362,F,Snr1,32372,ubi156,67.496,0.596096441,0.537472402
beta,49.263,0.482450299,M,Snr1,32372,ubi156,59.425,0.581970424,0.532210362
beta,51.439,0.519386498,M,Snr1,32372,ubi156,52.075,0.525808276,0.522597387
beta,55.389,0.554555467,M,Snr1,32372,ubi156,48.905,0.489637565,0.522096516
alpha,74.897,0.515606499,F,Snr1,32372,ubi156,76.768,0.528486851,0.522046675
beta,63.295,0.508026326,M,Snr1,32372,ubi156,66.589,0.534465045,0.521245686
beta,66.799,0.533410525,M,Snr1,32372,ubi156,62.663,0.500383295,0.51689691
beta,60.04,0.522768829,M,Snr1,32372,ubi156,58.608,0.510300392,0.516534611
beta,54.134,0.494419582,F,Snr1,32372,ubi156,58.112,0.530751667,0.512585625
beta,58.592,0.561011107,M,Snr1,32372,ubi156,48.443,0.463835695,0.512423401
beta,50.301,0.495576355,M,Snr1,32372,ubi156,53.277,0.524896552,0.510236454
