region,lobe,length,norm_length,sex,gene,line,driver
ve,verellip,30.627,0.191382866,F,Snr1,32372,ubi156
ve,verellip,27.571,0.221293844,M,Snr1,32372,ubi156
ve,verellip,30.372,0.242529745,M,Snr1,32372,ubi156
ve,verellip,30.302,0.243272319,M,Snr1,32372,ubi156
ve,verellip,30.11453359,0.25822735,F,Snr1,32372,ubi156
ve,verellip,44.002,0.270017182,F,Snr1,32372,ubi156
ve,verellip,36.544,0.275991239,F,Snr1,32372,ubi156
he,horellip,34.439,0.276418653,M,Snr1,32372,ubi156
ve,verellip,29.416,0.277143396,F,Snr1,32372,ubi156
ve,verellip,34.191,0.284735177,F,Snr1,32372,ubi156
ve,verellip,35.881,0.289479629,M,Snr1,32372,ubi156
ve,verellip,34.418,0.292645183,F,Snr1,32372,ubi156
ve,verellip,42.859,0.295050255,F,Snr1,32372,ubi156
ve,verellip,34.16,0.301686832,F,Snr1,32372,ubi156
ve,verellip,34.733,0.302420549,M,Snr1,32372,ubi156
ve,verellip,35.29,0.303491572,F,Snr1,32372,ubi156
ve,verellip,30.863,0.304068966,M,Snr1,32372,ubi156
ve,verellip,32.633,0.305523827,F,Snr1,32372,ubi156
ve,verellip,31.736,0.308206274,M,Snr1,32372,ubi156
ve,verellip,34.652,0.310418346,M,Snr1,32372,ubi156
ve,verellip,31.319,0.31356628,M,Snr1,32372,ubi156
ve,verellip,32.258,0.31591421,M,Snr1,32372,ubi156
ve,verellip,32.018,0.318967922,F,Snr1,32372,ubi156
ve,verellip,31.683,0.31990751,M,Snr1,32372,ubi156
he,horellip,37.213,0.32002924,F,Snr1,32372,ubi156
ve,verellip,43.362,0.320677415,M,Snr1,32372,ubi156
ve,verellip,43.782,0.322092253,F,Snr1,32372,ubi156
ve,verellip,38.492,0.32592718,F,Snr1,32372,ubi156
he,horellip,41.249,0.331157675,M,Snr1,32372,ubi156
he,horellip,54.022,0.331504664,F,Snr1,32372,ubi156
ve,verellip,36.545,0.333774774,F,Snr1,32372,ubi156
ve,verellip,34.905,0.33421103,M,Snr1,32372,ubi156
ve,verellip,36.017,0.334481798,M,Snr1,32372,ubi156
ve,verellip,34.254,0.336747936,F,Snr1,32372,ubi156
ve,verellip,32.496,0.339273969,F,Snr1,32372,ubi156
he,horellip,39,0.344431688,F,Snr1,32372,ubi156
ve,verellip,36.479,0.348914395,M,Snr1,32372,ubi156
he,horellip,46.251,0.349301412,F,Snr1,32372,ubi156
ve,verellip,36.482,0.349511401,M,Snr1,32372,ubi156
ve,verellip,33.849,0.352109599,F,Snr1,32372,ubi156
ve,verellip,43.327,0.352883206,F,Snr1,32372,ubi156
ve,verellip,36.905,0.357537299,M,Snr1,32372,ubi156
ve,verellip,37.286,0.361053549,F,Snr1,32372,ubi156
he,horellip,41.51,0.361427949,M,Snr1,32372,ubi156
ve,verellip,35.607,0.364325619,M,Snr1,32372,ubi156
he,horellip,45.791,0.365655194,M,Snr1,32372,ubi156
ve,verellip,34.731,0.366650831,M,Snr1,32372,ubi156
he,horellip,43.0734003,0.369347577,F,Snr1,32372,ubi156
he,horellip,39.241,0.369709817,F,Snr1,32372,ubi156
he,horellip,59.442,0.371442854,F,Snr1,32372,ubi156
he,horellip,50.356,0.372400532,M,Snr1,32372,ubi156
he,horellip,46.827,0.377789431,M,Snr1,32372,ubi156
ve,verellip,37.56,0.3780764,M,Snr1,32372,ubi156
he,horellip,37.98,0.380256308,M,Snr1,32372,ubi156
he,horellip,45.09,0.383385767,F,Snr1,32372,ubi156
he,horellip,46.201,0.384751832,F,Snr1,32372,ubi156
he,horellip,38.844,0.386969516,F,Snr1,32372,ubi156
he,horellip,38.66,0.389148925,M,Snr1,32372,ubi156
he,horellip,46.016,0.389635902,F,Snr1,32372,ubi156
he,horellip,57.141,0.393370508,F,Snr1,32372,ubi156
he,horellip,40.701,0.394122204,F,Snr1,32372,ubi156
he,horellip,48.773,0.397238964,F,Snr1,32372,ubi156
he,horellip,38.05,0.397260417,F,Snr1,32372,ubi156
he,horellip,41.913,0.401311758,M,Snr1,32372,ubi156
he,horellip,41.015,0.40408867,M,Snr1,32372,ubi156
he,horellip,42.288,0.405135083,M,Snr1,32372,ubi156
he,horellip,44.427,0.405763083,F,Snr1,32372,ubi156
he,horellip,41.93,0.407205982,M,Snr1,32372,ubi156
he,horellip,55.449,0.407923196,F,Snr1,32372,ubi156
he,horellip,40.668,0.410630263,M,Snr1,32372,ubi156
he,horellip,43.888,0.410897856,F,Snr1,32372,ubi156
he,horellip,46.227,0.41410911,M,Snr1,32372,ubi156
he,horellip,42.182,0.414687377,F,Snr1,32372,ubi156
he,horellip,40.072,0.416843507,F,Snr1,32372,ubi156
he,horellip,43.774,0.418689622,M,Snr1,32372,ubi156
he,horellip,43.304,0.424091666,M,Snr1,32372,ubi156
he,horellip,40.311,0.425558195,M,Snr1,32372,ubi156
he,horellip,46.026,0.427433135,M,Snr1,32372,ubi156
he,horellip,44.857,0.434576632,M,Snr1,32372,ubi156
he,horellip,43.132,0.441320318,M,Snr1,32372,ubi156
ve,verellip,29.286,0.183968842,F,SMC1,34351,ubi56
ve,verellip,26.944,0.193008596,F,SMC1,34351,ubi56
ve,verellip,22.846,0.200755712,F,SMC1,34351,ubi56
ve,verellip,29.023,0.25134667,M,SMC1,34351,ubi56
ve,verellip,32.389,0.256242089,F,SMC1,34351,ubi56
ve,verellip,31.676,0.265204287,F,SMC1,34351,ubi56
ve,verellip,33.944,0.273565442,M,SMC1,34351,ubi56
ve,verellip,34.069,0.279048243,F,SMC1,34351,ubi56
ve,verellip,32.659,0.279256092,M,SMC1,34351,ubi56
ve,verellip,37.009,0.283051625,F,SMC1,34351,ubi56
ve,verellip,35.139,0.284457217,M,SMC1,34351,ubi56
ve,verellip,32.96,0.28633481,F,SMC1,34351,ubi56
ve,verellip,31.821,0.287972851,M,SMC1,34351,ubi56
ve,verellip,32.391,0.288048021,M,SMC1,34351,ubi56
ve,verellip,29.608,0.292193822,M,SMC1,34351,ubi56
ve,verellip,40.058,0.294825937,F,SMC1,34351,ubi56
ve,verellip,32.029,0.296455017,M,SMC1,34351,ubi56
ve,verellip,29.807,0.296764237,M,SMC1,34351,ubi56
ve,verellip,36.021,0.298533068,F,SMC1,34351,ubi56
