Monitor,Channel,Line,Sex,Activity
Monitor18,ch4,32372,M,409.5555556
Monitor18,ch5,32372,M,696.1111111
Monitor18,ch6,32372,M,395.8888889
Monitor12,ch2,32372,F,422.3333333
Monitor12,ch21,32372,F,414.3333333
Monitor18,ch20,32372,M,597.3333333
Monitor18,ch8,32372,M,586.2222222
Monitor18,ch21,32372,M,649.5555556
Monitor12,ch13,32372,F,430.5555556
Monitor12,ch1,32372,F,565.4444444
Monitor18,ch15,32372,M,835.5555556
Monitor18,ch22,32372,M,585.6666667
Monitor18,ch19,32372,M,579.3333333
Monitor18,ch12,32372,M,791.5555556
Monitor18,ch32,32372,M,1390.777778
Monitor12,ch24,32372,F,606.6666667
Monitor12,ch23,32372,F,591.3333333
Monitor12,ch7,32372,F,620.8888889
Monitor12,ch8,32372,F,623.4444444
Monitor12,ch28,32372,F,819.3333333
Monitor18,ch27,32372,M,688.5555556
Monitor18,ch24,32372,M,954.1111111
Monitor18,ch13,32372,M,869.1111111
Monitor12,ch32,32372,F,833.1111111
Monitor12,ch20,32372,F,664.2222222
Monitor18,ch23,32372,M,910
Monitor12,ch3,32372,F,870
Monitor18,ch14,32372,M,788.4444444
Monitor18,ch28,32372,M,763.5555556
Monitor18,ch31,32372,M,637.2222222
Monitor12,ch10,32372,F,663.5555556
Monitor12,ch29,32372,F,686.3333333
Monitor12,ch4,32372,F,711.5555556
Monitor12,ch16,32372,F,731.4444444
Monitor12,ch5,32372,F,721.5555556
Monitor12,ch30,32372,F,703.7777778
Monitor12,ch18,32372,F,792.7777778
Monitor12,ch14,32372,F,805.5555556
Monitor12,ch6,32372,F,799.5555556
Monitor12,ch19,32372,F,698.5555556
Monitor18,ch29,32372,M,862.6666667
Monitor12,ch31,32372,F,1084.555556
Monitor12,ch11,32372,F,959.1111111
Monitor12,ch22,32372,F,888.6666667
Monitor12,ch17,32372,F,1010.222222
Monitor12,ch26,32372,F,1121.666667
Monitor12,ch25,32372,F,901
Monitor18,ch7,32372,M,1008.888889
Monitor12,ch9,32372,F,969.6666667
Monitor12,ch12,32372,F,1006.111111
Monitor12,ch27,32372,F,976.6666667
Monitor12,ch15,32372,F,1422.888889
Monitor18,ch30,32372,M,1250.555556
Monitor8,ch19,34351,M,184.1111111
Monitor8,ch16,34351,M,304.8888889
Monitor8,ch30,34351,M,350.8888889
Monitor8,ch4,34351,M,422.3333333
Monitor8,ch24,34351,M,541.5555556
Monitor8,ch17,34351,M,585.2222222
Monitor8,ch7,34351,M,316.4444444
Monitor8,ch13,34351,M,326.6666667
Monitor8,ch6,34351,M,455.2222222
Monitor8,ch18,34351,M,382.4444444
Monitor8,ch8,34351,M,416.8888889
Monitor8,ch10,34351,M,423.7777778
Monitor8,ch5,34351,M,484.7777778
Monitor8,ch12,34351,M,425.6666667
Monitor72,ch15,34351,F,654.2222222
Monitor8,ch14,34351,M,473.5555556
Monitor8,ch22,34351,M,452.6666667
Monitor72,ch21,34351,F,378.8888889
Monitor8,ch3,34351,M,513.6666667
Monitor8,ch21,34351,M,406.6666667
Monitor72,ch10,34351,F,644.6666667
Monitor72,ch14,34351,F,532.7777778
Monitor8,ch26,34351,M,592.8888889
Monitor8,ch2,34351,M,384.8888889
Monitor8,ch31,34351,M,599.6666667
Monitor72,ch12,34351,F,525.5555556
Monitor72,ch7,34351,F,679
Monitor8,ch28,34351,M,563.2222222
Monitor72,ch24,34351,F,455.8888889
Monitor8,ch15,34351,M,515.8888889
Monitor8,ch1,34351,M,538
Monitor72,ch3,34351,F,719.6666667
Monitor72,ch23,34351,F,525.6666667
Monitor8,ch29,34351,M,608.7777778
Monitor8,ch23,34351,M,750.6666667
Monitor8,ch25,34351,M,593.3333333
Monitor72,ch22,34351,F,767.2222222
Monitor8,ch20,34351,M,657.3333333
Monitor72,ch31,34351,F,747.5555556
Monitor72,ch17,34351,F,869.4444444
Monitor72,ch30,34351,F,912.8888889
Monitor72,ch26,34351,F,713.2222222
Monitor72,ch29,34351,F,533.6666667
Monitor72,ch13,34351,F,588.1111111
Monitor72,ch4,34351,F,647.4444444
Monitor72,ch32,34351,F,620.4444444
Monitor8,ch27,34351,M,618.1111111
Monitor8,ch11,34351,M,689.3333333
Monitor72,ch8,34351,F,746.7777778
Monitor8,ch9,34351,M,693.1111111
Monitor72,ch18,34351,F,824.2222222
Monitor72,ch19,34351,F,855.7777778
Monitor72,ch28,34351,F,736.6666667
Monitor72,ch11,34351,F,745.1111111
Monitor72,ch1,34351,F,912.6666667
Monitor72,ch25,34351,F,817.4444444
Monitor72,ch16,34351,F,950.4444444
Monitor72,ch20,34351,F,908.2222222
Monitor72,ch5,34351,F,924.6666667
Monitor72,ch27,34351,F,897.2222222
Monitor72,ch2,34351,F,833.8888889
Monitor72,ch6,34351,F,1093.222222
Monitor72,ch9,34351,F,2137.333333
Monitor21,ch1,35211,M,746.4444444
Monitor21,ch6,35211,M,504.7777778
Monitor21,ch29,35211,M,674.4444444
Monitor20,ch15,35211,F,876.4444444
Monitor20,ch22,35211,F,773.6666667
Monitor21,ch19,35211,M,1185
Monitor20,ch19,35211,F,574.2222222
Monitor21,ch9,35211,M,650.6666667
Monitor21,ch31,35211,M,653.3333333
Monitor20,ch14,35211,F,763.8888889
Monitor20,ch28,35211,F,740
Monitor21,ch12,35211,M,670.6666667
Monitor21,ch2,35211,M,743.2222222
Monitor21,ch30,35211,M,651.4444444
Monitor20,ch18,35211,F,1085.222222
Monitor21,ch27,35211,M,835
Monitor21,ch14,35211,M,702.8888889
Monitor21,ch10,35211,M,834.2222222
Monitor20,ch8,35211,F,920.4444444
Monitor21,ch24,35211,M,846.6666667
Monitor20,ch1,35211,F,874.6666667
Monitor20,ch16,35211,F,1206.222222
Monitor21,ch32,35211,M,884.3333333
Monitor21,ch5,35211,M,853.8888889
Monitor20,ch27,35211,F,1025.222222
Monitor20,ch5,35211,F,1064.111111
Monitor21,ch28,35211,M,921.5555556
Monitor21,ch23,35211,M,1080.333333
Monitor20,ch3,35211,F,1053.111111
Monitor21,ch4,35211,M,1013.333333
Monitor21,ch15,35211,M,1070.333333
Monitor20,ch2,35211,F,853.6666667
Monitor20,ch24,35211,F,960
Monitor20,ch30,35211,F,936.4444444
Monitor21,ch20,35211,M,952.5555556
Monitor21,ch18,35211,M,950.6666667
Monitor21,ch21,35211,M,1283.111111
Monitor20,ch4,35211,F,1290.111111
Monitor21,ch11,35211,M,920.2222222
Monitor20,ch10,35211,F,1077.333333
Monitor20,ch7,35211,F,1005.222222
Monitor20,ch9,35211,F,1380.777778
Monitor20,ch31,35211,F,1044.222222
Monitor21,ch26,35211,M,1220.222222
Monitor21,ch7,35211,M,1337.111111
Monitor21,ch16,35211,M,1103
Monitor21,ch13,35211,M,1373.888889
Monitor20,ch11,35211,F,1293.666667
Monitor20,ch20,35211,F,1283.333333
Monitor20,ch13,35211,F,1334
Monitor20,ch6,35211,F,1112.333333
Monitor20,ch12,35211,F,1415.444444
Monitor21,ch17,35211,M,1246.444444
Monitor21,ch8,35211,M,2004.444444
Monitor20,ch29,35211,F,1447.444444
Monitor20,ch25,35211,F,1650.444444
Monitor20,ch32,35211,F,1381.222222
Monitor21,ch25,35211,M,1381.666667
Monitor20,ch21,35211,F,1521.666667
Monitor21,ch3,35211,M,1357.444444
Monitor20,ch23,35211,F,1414.222222
Monitor20,ch26,35211,F,1576.444444
Monitor21,ch22,35211,M,1750.777778
Monitor17,ch18,35447,M,350.6666667
Monitor62,ch28,35447,F,1085.111111
Monitor62,ch20,35447,F,406.6666667
Monitor62,ch9,35447,F,1014.555556
Monitor62,ch13,35447,F,732.6666667
Monitor62,ch29,35447,F,1029.777778
Monitor62,ch3,35447,F,748.4444444
Monitor62,ch8,35447,F,882.6666667
Monitor62,ch12,35447,F,667.4444444
Monitor62,ch25,35447,F,977.6666667
Monitor62,ch11,35447,F,1447.444444
Monitor62,ch26,35447,F,1065.333333
Monitor62,ch23,35447,F,1491.222222
Monitor62,ch31,35447,F,1911.333333
Monitor62,ch17,35447,F,997.6666667
Monitor62,ch22,35447,F,1421.888889
Monitor17,ch16,35447,M,1339.888889
Monitor62,ch16,35447,F,1609.777778
Monitor62,ch30,35447,F,1554.888889
Monitor17,ch28,35447,M,1662.111111
Monitor62,ch14,35447,F,1211.888889
Monitor62,ch32,35447,F,1388.666667
Monitor62,ch18,35447,F,1334.111111
Monitor62,ch19,35447,F,1706.333333
Monitor62,ch21,35447,F,1280.333333
Monitor62,ch10,35447,F,2157.444444
Monitor62,ch24,35447,F,1307.666667
Monitor62,ch1,35447,F,1454.888889
Monitor62,ch7,35447,F,1457
Monitor17,ch22,35447,M,1478.333333
Monitor62,ch2,35447,F,1680
Monitor17,ch31,35447,M,1520.111111
Monitor62,ch27,35447,F,1734.333333
Monitor17,ch23,35447,M,1741
Monitor17,ch2,35447,M,1466
Monitor62,ch5,35447,F,1807.555556
Monitor17,ch6,35447,M,1720.222222
Monitor17,ch17,35447,M,2159.555556
Monitor17,ch9,35447,M,4345.666667
Monitor17,ch13,35447,M,1887
Monitor17,ch27,35447,M,3073.444444
Monitor62,ch4,35447,F,1926.888889
Monitor17,ch24,35447,M,1822.888889
Monitor17,ch26,35447,M,2134.888889
Monitor17,ch19,35447,M,2087.777778
Monitor17,ch25,35447,M,2134
Monitor17,ch32,35447,M,2762.444444
Monitor17,ch30,35447,M,2363.555556
