Monitor,Channel,Line,Sex,sleep_bout_count,Light_status
Monitor12,ch1,32372,F,3.125,Night
Monitor12,ch10,32372,F,5.111111111,Night
Monitor12,ch11,32372,F,8.666666667,Night
Monitor12,ch12,32372,F,4.666666667,Night
Monitor12,ch13,32372,F,5.888888889,Night
Monitor12,ch14,32372,F,6.111111111,Night
Monitor12,ch15,32372,F,7.555555556,Night
Monitor12,ch16,32372,F,3.555555556,Night
Monitor12,ch17,32372,F,5.375,Night
Monitor12,ch18,32372,F,3.666666667,Night
Monitor12,ch19,32372,F,3.333333333,Night
Monitor12,ch2,32372,F,3.555555556,Night
Monitor12,ch20,32372,F,5.333333333,Night
Monitor12,ch21,32372,F,2.75,Night
Monitor12,ch22,32372,F,4.888888889,Night
Monitor12,ch23,32372,F,3.75,Night
Monitor12,ch24,32372,F,3.888888889,Night
Monitor12,ch25,32372,F,5.444444444,Night
Monitor12,ch26,32372,F,9,Night
Monitor12,ch27,32372,F,11.33333333,Night
Monitor12,ch28,32372,F,3.111111111,Night
Monitor12,ch29,32372,F,6.111111111,Night
Monitor12,ch3,32372,F,6.222222222,Night
Monitor12,ch30,32372,F,5.777777778,Night
Monitor12,ch31,32372,F,5.777777778,Night
Monitor12,ch32,32372,F,5.75,Night
Monitor12,ch4,32372,F,4.111111111,Night
Monitor12,ch5,32372,F,2,Night
Monitor12,ch6,32372,F,6,Night
Monitor12,ch7,32372,F,7.555555556,Night
Monitor12,ch8,32372,F,6.666666667,Night
Monitor12,ch9,32372,F,5.75,Night
Monitor18,ch12,32372,M,5.888888889,Night
Monitor18,ch13,32372,M,6.222222222,Night
Monitor18,ch14,32372,M,7.666666667,Night
Monitor18,ch15,32372,M,7.111111111,Night
Monitor18,ch19,32372,M,4,Night
Monitor18,ch20,32372,M,6.222222222,Night
Monitor18,ch21,32372,M,5.111111111,Night
Monitor18,ch22,32372,M,4.333333333,Night
Monitor18,ch23,32372,M,7,Night
Monitor18,ch24,32372,M,5.888888889,Night
Monitor18,ch27,32372,M,5.444444444,Night
Monitor18,ch28,32372,M,5,Night
Monitor18,ch29,32372,M,6.111111111,Night
Monitor18,ch30,32372,M,7.777777778,Night
Monitor18,ch31,32372,M,5.888888889,Night
Monitor18,ch32,32372,M,4.555555556,Night
Monitor18,ch4,32372,M,2.888888889,Night
Monitor18,ch5,32372,M,6.555555556,Night
Monitor18,ch6,32372,M,6.222222222,Night
Monitor18,ch7,32372,M,5,Night
Monitor18,ch8,32372,M,5.444444444,Night
Monitor12,ch1,32372,F,13.77777778,Day
Monitor12,ch10,32372,F,8.888888889,Day
Monitor12,ch11,32372,F,11.11111111,Day
Monitor12,ch12,32372,F,7.888888889,Day
Monitor12,ch13,32372,F,11.22222222,Day
Monitor12,ch14,32372,F,10.77777778,Day
Monitor12,ch15,32372,F,10.11111111,Day
Monitor12,ch16,32372,F,9.666666667,Day
Monitor12,ch17,32372,F,7.444444444,Day
Monitor12,ch18,32372,F,11.44444444,Day
Monitor12,ch19,32372,F,4.75,Day
Monitor12,ch2,32372,F,15,Day
Monitor12,ch20,32372,F,10.88888889,Day
Monitor12,ch21,32372,F,8.111111111,Day
Monitor12,ch22,32372,F,9.444444444,Day
Monitor12,ch23,32372,F,12.11111111,Day
Monitor12,ch24,32372,F,11.11111111,Day
Monitor12,ch25,32372,F,11.22222222,Day
Monitor12,ch26,32372,F,8.666666667,Day
Monitor12,ch27,32372,F,7.888888889,Day
Monitor12,ch28,32372,F,10.33333333,Day
Monitor12,ch29,32372,F,7.222222222,Day
Monitor12,ch3,32372,F,10,Day
Monitor12,ch30,32372,F,10.22222222,Day
Monitor12,ch31,32372,F,14.11111111,Day
Monitor12,ch32,32372,F,11.66666667,Day
Monitor12,ch4,32372,F,10.66666667,Day
Monitor12,ch5,32372,F,8.888888889,Day
Monitor12,ch6,32372,F,8.222222222,Day
Monitor12,ch7,32372,F,12.22222222,Day
Monitor12,ch8,32372,F,14,Day
Monitor12,ch9,32372,F,7.777777778,Day
Monitor18,ch12,32372,M,13.11111111,Day
Monitor18,ch13,32372,M,13.22222222,Day
Monitor18,ch14,32372,M,11.55555556,Day
Monitor18,ch15,32372,M,9.666666667,Day
Monitor18,ch19,32372,M,11.11111111,Day
Monitor18,ch20,32372,M,8.666666667,Day
Monitor18,ch21,32372,M,12.33333333,Day
Monitor18,ch22,32372,M,10.11111111,Day
Monitor18,ch23,32372,M,9.333333333,Day
Monitor18,ch24,32372,M,10.55555556,Day
Monitor18,ch27,32372,M,13.22222222,Day
Monitor18,ch28,32372,M,12.11111111,Day
Monitor18,ch29,32372,M,6.222222222,Day
Monitor18,ch30,32372,M,8.888888889,Day
Monitor18,ch31,32372,M,10.77777778,Day
Monitor18,ch32,32372,M,12.22222222,Day
Monitor18,ch4,32372,M,13.33333333,Day
Monitor18,ch5,32372,M,11.33333333,Day
Monitor18,ch6,32372,M,12.11111111,Day
Monitor18,ch7,32372,M,8.777777778,Day
Monitor18,ch8,32372,M,10.55555556,Day
Monitor72,ch1,34351,F,7.625,Night
Monitor72,ch10,34351,F,4.777777778,Night
Monitor72,ch11,34351,F,9.666666667,Night
Monitor72,ch12,34351,F,4.666666667,Night
Monitor72,ch13,34351,F,4.666666667,Night
Monitor72,ch14,34351,F,6.888888889,Night
Monitor72,ch15,34351,F,10.22222222,Night
Monitor72,ch16,34351,F,12.22222222,Night
Monitor72,ch17,34351,F,9.777777778,Night
Monitor72,ch18,34351,F,10.77777778,Night
Monitor72,ch19,34351,F,6.222222222,Night
Monitor72,ch2,34351,F,4.777777778,Night
Monitor72,ch20,34351,F,8.333333333,Night
Monitor72,ch21,34351,F,3.666666667,Night
Monitor72,ch22,34351,F,6,Night
Monitor72,ch23,34351,F,2.888888889,Night
Monitor72,ch24,34351,F,5.666666667,Night
Monitor72,ch25,34351,F,8.555555556,Night
Monitor72,ch26,34351,F,8.888888889,Night
Monitor72,ch27,34351,F,3.444444444,Night
Monitor72,ch28,34351,F,7.555555556,Night
Monitor72,ch29,34351,F,3.222222222,Night
Monitor72,ch3,34351,F,9.333333333,Night
Monitor72,ch30,34351,F,6.888888889,Night
Monitor72,ch31,34351,F,8.75,Night
Monitor72,ch32,34351,F,4.625,Night
