Gene,Line,Driver,Time,Sex,Control,Tap
Control,TRiPsc1,ubi156,27.06,F,N/A,no
Control,TRiPsc1,ubi156,34.36,F,N/A,no
Control,TRiPsc1,ubi156,25.66,F,N/A,no
Control,TRiPsc1,ubi156,34.8,F,N/A,no
Control,TRiPsc1,ubi156,34.94,F,N/A,no
Control,TRiPsc1,ubi156,36.85,F,N/A,no
Control,TRiPsc1,ubi156,34.26,F,N/A,no
Control,TRiPsc1,ubi156,22.25,F,N/A,no
Control,TRiPsc1,ubi156,35.13,F,N/A,no
Control,TRiPsc1,ubi156,31.68,F,N/A,no
Control,TRiPsc1,ubi156,36.07,F,N/A,no
Control,TRiPsc1,ubi156,31.66,F,N/A,no
Control,TRiPsc1,ubi156,36.58,F,N/A,no
Control,TRiPsc1,ubi156,34.98,F,N/A,no
Control,TRiPsc1,ubi156,32.76,F,N/A,no
Control,TRiPsc1,ubi156,34.53,F,N/A,no
Control,TRiPsc1,ubi156,33.84,F,N/A,no
Control,TRiPsc1,ubi156,38.6,F,N/A,no
Control,TRiPsc1,ubi156,33.78,F,N/A,no
Control,TRiPsc1,ubi156,35.7,F,N/A,no
Control,TRiPsc1,ubi156,29.94,F,N/A,no
Control,TRiPsc1,ubi156,34.36,F,N/A,no
Control,TRiPsc1,ubi156,39.7,F,N/A,no
Control,TRiPsc1,ubi156,26.81,F,N/A,no
Control,TRiPsc1,ubi156,33.71,F,N/A,no
Control,TRiPsc1,ubi156,41.53,F,N/A,no
Control,TRiPsc1,ubi156,36.18,F,N/A,no
Control,TRiPsc1,ubi156,38.55,F,N/A,no
Control,TRiPsc1,ubi156,32.84,F,N/A,no
Control,TRiPsc1,ubi156,35.6,F,N/A,no
Control,TRiPsc1,ubi156,36.11,F,N/A,no
Control,TRiPsc1,ubi156,33.57,F,N/A,no
Control,TRiPsc1,ubi156,33.83,F,N/A,no
Control,TRiPsc1,ubi156,38.84,F,N/A,no
Control,TRiPsc1,ubi156,27.23,F,N/A,no
Control,TRiPsc1,ubi156,33.88,F,N/A,no
Control,TRiPsc1,ubi156,36.38,F,N/A,no
Control,TRiPsc1,ubi156,26.01,F,N/A,no
Control,TRiPsc1,ubi156,35.62,F,N/A,no
Control,TRiPsc1,ubi156,36.27,F,N/A,no
Control,TRiPsc1,ubi156,25.96,F,N/A,no
Control,TRiPsc1,ubi156,37.23,F,N/A,no
Control,TRiPsc1,ubi156,35.25,F,N/A,no
Control,TRiPsc1,ubi156,13.78,F,N/A,no
Control,TRiPsc1,ubi156,44.37,F,N/A,no
Control,TRiPsc1,ubi156,41.86,F,N/A,no
Control,TRiPsc1,ubi156,34.69,F,N/A,no
Control,TRiPsc1,ubi156,39.12,F,N/A,no
Control,TRiPsc1,ubi156,26.87,F,N/A,no
Control,TRiPsc1,ubi156,28.6,F,N/A,no
Control,TRiPsc1,ubi156,30.27,M,N/A,yes
Control,TRiPsc1,ubi156,29.11,M,N/A,yes
Control,TRiPsc1,ubi156,33.95,M,N/A,no
Control,TRiPsc1,ubi156,27.34,M,N/A,no
