Line,Sex,Monitor,Channel,Activity
80387,F,Monitor5,ch1,571.5
80387,F,Monitor5,ch2,523
80387,F,Monitor5,ch3,444.8333333
80387,F,Monitor5,ch4,340.6666667
80387,F,Monitor5,ch5,449
80387,F,Monitor5,ch6,549.5
80387,F,Monitor5,ch7,1012.5
80387,F,Monitor5,ch8,174.6666667
80387,F,Monitor5,ch9,215
80387,F,Monitor5,ch10,286
80387,F,Monitor5,ch11,260.6666667
80387,F,Monitor5,ch12,412.5
80387,F,Monitor5,ch13,206.1666667
80387,F,Monitor5,ch14,73.83333333
80387,F,Monitor5,ch15,381.5
80387,F,Monitor5,ch16,448.6666667
80387,F,Monitor5,ch17,360.6666667
80387,F,Monitor5,ch18,348.5
80387,F,Monitor5,ch19,393.5
80387,F,Monitor5,ch20,784
80387,F,Monitor5,ch21,448.5
80387,F,Monitor5,ch22,88.83333333
80387,F,Monitor5,ch23,377.3333333
80387,F,Monitor5,ch24,565
80387,F,Monitor5,ch25,552.1666667
80387,F,Monitor5,ch26,393.3333333
80387,F,Monitor5,ch27,603.3333333
80387,F,Monitor5,ch28,579.1666667
80387,F,Monitor5,ch30,567.3333333
80387,F,Monitor5,ch31,362.6666667
80387,F,Monitor5,ch32,817.5
Control,F,Monitor7,ch1,531.5
Control,F,Monitor7,ch2,483
Control,F,Monitor7,ch3,410.1666667
Control,F,Monitor7,ch4,457.3333333
Control,F,Monitor7,ch5,556.1666667
Control,F,Monitor7,ch6,360.8333333
Control,F,Monitor7,ch7,540.8333333
Control,F,Monitor7,ch8,283.1666667
Control,F,Monitor7,ch9,403.8333333
Control,F,Monitor7,ch10,718.1666667
Control,F,Monitor7,ch11,237
Control,F,Monitor7,ch12,585
Control,F,Monitor7,ch13,457.3333333
Control,F,Monitor7,ch14,550
Control,F,Monitor7,ch15,442.8333333
Control,F,Monitor7,ch16,352.6666667
Control,F,Monitor7,ch17,652.5
Control,F,Monitor7,ch18,490.5
Control,F,Monitor7,ch19,357.6666667
Control,F,Monitor7,ch20,464.8333333
Control,F,Monitor7,ch21,469
Control,F,Monitor7,ch22,261
Control,F,Monitor7,ch23,618.3333333
Control,F,Monitor7,ch24,760
Control,F,Monitor7,ch25,498.3333333
Control,F,Monitor7,ch26,474.3333333
Control,F,Monitor7,ch27,408.5
Control,F,Monitor7,ch28,394.3333333
Control,F,Monitor7,ch29,611.3333333
Control,F,Monitor7,ch30,531.3333333
Control,F,Monitor7,ch31,355
Control,F,Monitor7,ch32,500.3333333
56014,M,Monitor8,ch1,436.3333333
56014,M,Monitor8,ch2,344.3333333
56014,M,Monitor8,ch3,640.6666667
56014,M,Monitor8,ch4,452.3333333
56014,M,Monitor8,ch5,565.5
56014,M,Monitor8,ch6,443.8333333
56014,M,Monitor8,ch7,405.3333333
56014,M,Monitor8,ch8,490
56014,M,Monitor8,ch9,510.5
56014,M,Monitor8,ch10,460
56014,M,Monitor8,ch11,370.6666667
56014,M,Monitor8,ch12,440.5
56014,M,Monitor8,ch13,490
