Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor72,ch25,66945,F,Day,0.512731481
Monitor75,ch4,55690,M,Day,0.727083333
Monitor60,ch21,66945,M,Day,0.844907407
Monitor77,ch23,64498,F,Day,0.468287037
Monitor5,ch10,80387,F,Day,0.799074074
Monitor8,ch12,56014,M,Day,0.531481481
Monitor77,ch6,64498,F,Day,0.410185185
Monitor8,ch29,56014,M,Day,0.597453704
Monitor75,ch6,55690,M,Day,0.67962963
Monitor72,ch24,66945,F,Day,0.371296296
Monitor24,ch13,Control,M,Day,0.843981481
Monitor22,ch3,64498,M,Day,0.413657407
Monitor75,ch2,55690,M,Day,0.706481481
Monitor59,ch23,55690,F,Day,0.678703704
Monitor56,ch19,62872,M,Day,0.600231481
Monitor58,ch15,62872,F,Day,0.563657407
Monitor59,ch6,55690,F,Day,0.700694444
Monitor60,ch2,66945,M,Day,0.681481481
Monitor60,ch1,66945,M,Day,0.556944444
Monitor75,ch17,55690,M,Day,0.750231481
Monitor77,ch31,64498,F,Day,0.338425926
Monitor60,ch20,66945,M,Day,0.87962963
Monitor75,ch9,55690,M,Day,0.67962963
Monitor58,ch12,62872,F,Day,0.496759259
Monitor60,ch3,66945,M,Day,0.824768519
Monitor5,ch3,80387,F,Day,0.68287037
Monitor18,ch28,80387,M,Day,0.671759259
Monitor5,ch17,80387,F,Day,0.708101852
Monitor58,ch2,62872,F,Day,0.431481481
Monitor7,ch21,Control,F,Day,0.615972222
Monitor8,ch14,56014,M,Day,0.631481481
Monitor56,ch13,62872,M,Day,0.553703704
Monitor75,ch16,55690,M,Day,0.726157407
Monitor77,ch17,64498,F,Day,0.284953704
Monitor7,ch22,Control,F,Day,0.630787037
Monitor77,ch30,64498,F,Day,0.234722222
Monitor22,ch18,64498,M,Day,0.685648148
Monitor60,ch16,66945,M,Day,0.741203704
Monitor60,ch28,66945,M,Day,0.749768519
Monitor77,ch7,64498,F,Day,0.37962963
Monitor18,ch10,80387,M,Day,0.672453704
Monitor8,ch22,56014,M,Day,0.588888889
Monitor18,ch31,80387,M,Day,0.679861111
Monitor72,ch18,66945,F,Day,0.525694444
Monitor5,ch8,80387,F,Day,0.784490741
Monitor77,ch21,64498,F,Day,0.686574074
Monitor24,ch30,Control,M,Day,0.648842593
Monitor5,ch12,80387,F,Day,0.758333333
Monitor58,ch16,62872,F,Day,0.321296296
Monitor8,ch30,56014,M,Day,0.676851852
Monitor77,ch8,64498,F,Day,0.261111111
Monitor8,ch6,56014,M,Day,0.613657407
Monitor18,ch26,80387,M,Day,0.826157407
Monitor5,ch31,80387,F,Day,0.705324074
Monitor77,ch1,64498,F,Day,0.409490741
Monitor18,ch9,80387,M,Day,0.734953704
Monitor18,ch11,80387,M,Day,0.730787037
Monitor22,ch19,64498,M,Day,0.58125
Monitor77,ch10,64498,F,Day,0.534722222
Monitor58,ch26,62872,F,Day,0.443518519
Monitor24,ch5,Control,M,Day,0.770833333
Monitor18,ch1,80387,M,Day,0.748842593
Monitor77,ch16,64498,F,Day,0.490740741
Monitor56,ch26,62872,M,Day,0.534259259
Monitor58,ch20,62872,F,Day,0.221527778
Monitor60,ch4,66945,M,Day,0.715046296
Monitor58,ch21,62872,F,Day,0.281712963
Monitor22,ch17,64498,M,Day,0.680324074
Monitor77,ch32,64498,F,Day,0.341898148
Monitor56,ch32,62872,M,Day,0.636805556
Monitor58,ch27,62872,F,Day,0.499305556
Monitor58,ch1,62872,F,Day,0.342592593
Monitor58,ch14,62872,F,Day,0.510416667
Monitor18,ch24,80387,M,Day,0.786342593
Monitor77,ch25,64498,F,Day,0.622916667
Monitor7,ch15,Control,F,Day,0.502777778
Monitor60,ch10,66945,M,Day,0.803703704
Monitor75,ch5,55690,M,Day,0.632175926
Monitor59,ch18,55690,F,Day,0.740277778
Monitor22,ch16,64498,M,Day,0.527777778
Monitor5,ch15,80387,F,Day,0.651851852
Monitor8,ch20,56014,M,Day,0.676157407
Monitor8,ch13,56014,M,Day,0.541435185
Monitor5,ch26,80387,F,Day,0.605092593
Monitor18,ch3,80387,M,Day,0.546064815
Monitor63,ch32,56014,F,Day,0.39837963
Monitor18,ch12,80387,M,Day,0.555555556
Monitor77,ch3,64498,F,Day,0.46412037
Monitor77,ch27,64498,F,Day,0.86712963
Monitor5,ch24,80387,F,Day,0.628703704
Monitor22,ch21,64498,M,Day,0.54837963
Monitor58,ch19,62872,F,Day,0.386574074
Monitor75,ch7,55690,M,Day,0.547685185
Monitor60,ch19,66945,M,Day,0.649074074
Monitor56,ch30,62872,M,Day,0.661111111
Monitor58,ch29,62872,F,Day,0.315740741
Monitor22,ch6,64498,M,Day,0.445138889
Monitor56,ch8,62872,M,Day,0.496064815
Monitor18,ch21,80387,M,Day,0.647916667
Monitor60,ch5,66945,M,Day,0.772685185
Monitor8,ch3,56014,M,Day,0.497453704
Monitor7,ch4,Control,F,Day,0.562731481
Monitor5,ch18,80387,F,Day,0.778935185
Monitor58,ch10,62872,F,Day,0.251157407
Monitor5,ch30,80387,F,Day,0.598842593
Monitor56,ch25,62872,M,Day,0.573148148
Monitor5,ch19,80387,F,Day,0.675231481
Monitor60,ch25,66945,M,Day,0.806481481
Monitor5,ch5,80387,F,Day,0.614814815
Monitor56,ch3,62872,M,Day,0.441666667
Monitor5,ch14,80387,F,Day,0.941435185
Monitor8,ch5,56014,M,Day,0.612731481
Monitor72,ch23,66945,F,Day,0.749074074
Monitor7,ch2,Control,F,Day,0.397685185
Monitor22,ch7,64498,M,Day,0.482407407
Monitor18,ch2,80387,M,Day,0.669907407
Monitor59,ch30,55690,F,Day,0.684490741
Monitor5,ch7,80387,F,Day,0.502083333
Monitor63,ch1,56014,F,Day,0.45162037
Monitor77,ch22,64498,F,Day,0.419907407
Monitor59,ch31,55690,F,Day,0.67037037
Monitor5,ch13,80387,F,Day,0.883796296
Monitor63,ch18,56014,F,Day,0.359259259
Monitor56,ch31,62872,M,Day,0.654398148
Monitor58,ch30,62872,F,Day,0.523842593
Monitor18,ch20,80387,M,Day,0.677083333
Monitor8,ch19,56014,M,Day,0.629398148
Monitor5,ch6,80387,F,Day,0.574768519
Monitor18,ch32,80387,M,Day,0.785416667
Monitor77,ch29,64498,F,Day,0.561111111
Monitor8,ch17,56014,M,Day,0.550231481
Monitor59,ch4,55690,F,Day,0.611574074
Monitor56,ch6,62872,M,Day,0.514583333
Monitor8,ch11,56014,M,Day,0.628009259
Monitor60,ch31,66945,M,Day,0.880787037
Monitor5,ch2,80387,F,Day,0.684490741
Monitor56,ch21,62872,M,Day,0.617824074
Monitor75,ch29,55690,M,Day,0.748611111
Monitor5,ch25,80387,F,Day,0.633564815
Monitor7,ch5,Control,F,Day,0.462037037
Monitor24,ch12,Control,M,Day,0.675231481
Monitor24,ch29,Control,M,Day,0.661111111
Monitor22,ch23,64498,M,Day,0.706018519
Monitor77,ch26,64498,F,Day,0.347222222
Monitor58,ch13,62872,F,Day,0.493518519
Monitor24,ch3,Control,M,Day,0.6875
Monitor18,ch4,80387,M,Day,0.692824074
Monitor60,ch18,66945,M,Day,0.646990741
Monitor63,ch3,56014,F,Day,0.503703704
Monitor8,ch7,56014,M,Day,0.518287037
Monitor63,ch30,56014,F,Day,0.415277778
Monitor60,ch9,66945,M,Day,0.854166667
Monitor56,ch1,62872,M,Day,0.633564815
Monitor56,ch23,62872,M,Day,0.661111111
Monitor60,ch13,66945,M,Day,0.646759259
Monitor77,ch2,64498,F,Day,0.447916667
Monitor22,ch10,64498,M,Day,0.551388889
Monitor77,ch9,64498,F,Day,0.454861111
Monitor63,ch31,56014,F,Day,0.534490741
Monitor72,ch22,66945,F,Day,0.698148148
Monitor22,ch29,64498,M,Day,0.671759259
Monitor22,ch14,64498,M,Day,0.5625
Monitor5,ch28,80387,F,Day,0.622453704
Monitor7,ch18,Control,F,Day,0.527314815
Monitor58,ch9,62872,F,Day,0.37962963
Monitor77,ch20,64498,F,Day,0.443287037
Monitor22,ch26,64498,M,Day,0.62037037
Monitor60,ch17,66945,M,Day,0.84375
Monitor63,ch25,56014,F,Day,0.370833333
Monitor58,ch28,62872,F,Day,0.40162037
Monitor60,ch7,66945,M,Day,0.778703704
Monitor77,ch4,64498,F,Day,0.278935185
Monitor58,ch24,62872,F,Day,0.226851852
Monitor24,ch8,Control,M,Day,0.683796296
Monitor58,ch31,62872,F,Day,0.552314815
Monitor60,ch22,66945,M,Day,0.814583333
Monitor72,ch9,66945,F,Day,0.711111111
