Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor18,ch1,80387,M,12.16666667,Day
Monitor18,ch10,80387,M,10.33333333,Day
Monitor18,ch11,80387,M,13.16666667,Day
Monitor18,ch12,80387,M,13.66666667,Day
Monitor18,ch13,80387,M,11.83333333,Day
Monitor18,ch14,80387,M,11.66666667,Day
Monitor18,ch15,80387,M,8.333333333,Day
Monitor18,ch16,80387,M,11.33333333,Day
Monitor18,ch17,80387,M,13.83333333,Day
Monitor18,ch18,80387,M,11.66666667,Day
Monitor18,ch19,80387,M,11,Day
Monitor18,ch2,80387,M,8.666666667,Day
Monitor18,ch20,80387,M,13.66666667,Day
Monitor18,ch21,80387,M,11.66666667,Day
Monitor18,ch22,80387,M,12.5,Day
Monitor18,ch23,80387,M,13.16666667,Day
Monitor18,ch24,80387,M,9.333333333,Day
Monitor18,ch26,80387,M,11,Day
Monitor18,ch27,80387,M,11.5,Day
Monitor18,ch28,80387,M,16.83333333,Day
Monitor18,ch29,80387,M,12.66666667,Day
Monitor18,ch3,80387,M,12,Day
Monitor18,ch30,80387,M,14.5,Day
Monitor18,ch31,80387,M,12.5,Day
Monitor18,ch32,80387,M,11.33333333,Day
Monitor18,ch4,80387,M,15.66666667,Day
Monitor18,ch5,80387,M,8.333333333,Day
Monitor18,ch6,80387,M,9.666666667,Day
Monitor18,ch7,80387,M,8.666666667,Day
Monitor18,ch8,80387,M,11.5,Day
Monitor18,ch9,80387,M,9.166666667,Day
Monitor22,ch1,64498,M,9.333333333,Day
Monitor22,ch10,64498,M,12.83333333,Day
Monitor22,ch11,64498,M,13,Day
Monitor22,ch12,64498,M,8.5,Day
Monitor22,ch13,64498,M,11.83333333,Day
Monitor22,ch14,64498,M,9,Day
Monitor22,ch15,64498,M,13.16666667,Day
Monitor22,ch16,64498,M,11.33333333,Day
Monitor22,ch17,64498,M,12.16666667,Day
Monitor22,ch18,64498,M,13.5,Day
Monitor22,ch19,64498,M,9.666666667,Day
Monitor22,ch2,64498,M,6.5,Day
Monitor22,ch20,64498,M,8.333333333,Day
Monitor22,ch21,64498,M,10.33333333,Day
Monitor22,ch22,64498,M,10.16666667,Day
Monitor22,ch23,64498,M,9.833333333,Day
Monitor22,ch24,64498,M,13.66666667,Day
Monitor22,ch25,64498,M,8.333333333,Day
Monitor22,ch26,64498,M,12,Day
Monitor22,ch27,64498,M,11,Day
Monitor22,ch28,64498,M,14.16666667,Day
Monitor22,ch29,64498,M,13.5,Day
Monitor22,ch3,64498,M,9.5,Day
Monitor22,ch30,64498,M,12,Day
Monitor22,ch31,64498,M,8.833333333,Day
Monitor22,ch32,64498,M,14.83333333,Day
Monitor22,ch4,64498,M,9.333333333,Day
Monitor22,ch5,64498,M,10,Day
Monitor22,ch6,64498,M,11,Day
Monitor22,ch7,64498,M,9,Day
Monitor22,ch8,64498,M,8.833333333,Day
Monitor22,ch9,64498,M,11.83333333,Day
Monitor24,ch1,Control,M,6.666666667,Day
Monitor24,ch10,Control,M,17.83333333,Day
Monitor24,ch11,Control,M,11.5,Day
Monitor24,ch12,Control,M,11.66666667,Day
Monitor24,ch13,Control,M,6.833333333,Day
Monitor24,ch14,Control,M,11.66666667,Day
Monitor24,ch15,Control,M,12,Day
Monitor24,ch16,Control,M,5,Day
Monitor24,ch17,Control,M,12.33333333,Day
Monitor24,ch18,Control,M,4,Day
Monitor24,ch19,Control,M,4.666666667,Day
Monitor24,ch20,Control,M,13.16666667,Day
Monitor24,ch21,Control,M,6.833333333,Day
Monitor24,ch22,Control,M,12.5,Day
Monitor24,ch23,Control,M,6,Day
Monitor24,ch24,Control,M,3.166666667,Day
Monitor24,ch25,Control,M,18.83333333,Day
Monitor24,ch26,Control,M,4.166666667,Day
Monitor24,ch27,Control,M,12,Day
Monitor24,ch28,Control,M,9.333333333,Day
Monitor24,ch29,Control,M,10,Day
Monitor24,ch3,Control,M,10,Day
Monitor24,ch30,Control,M,10,Day
Monitor24,ch31,Control,M,10.66666667,Day
Monitor24,ch32,Control,M,12.33333333,Day
Monitor24,ch4,Control,M,14.83333333,Day
Monitor24,ch5,Control,M,12.33333333,Day
Monitor24,ch6,Control,M,7.833333333,Day
Monitor24,ch7,Control,M,8.333333333,Day
Monitor24,ch8,Control,M,13.66666667,Day
Monitor24,ch9,Control,M,11.66666667,Day
Monitor56,ch1,62872,M,10.5,Day
Monitor56,ch10,62872,M,8,Day
Monitor56,ch11,62872,M,8.666666667,Day
Monitor56,ch12,62872,M,11.83333333,Day
Monitor56,ch13,62872,M,11.16666667,Day
Monitor56,ch14,62872,M,11.33333333,Day
Monitor56,ch15,62872,M,13.16666667,Day
Monitor56,ch16,62872,M,12.83333333,Day
Monitor56,ch17,62872,M,14,Day
Monitor56,ch18,62872,M,9.666666667,Day
Monitor56,ch19,62872,M,11.66666667,Day
Monitor56,ch2,62872,M,10.66666667,Day
Monitor56,ch20,62872,M,11.83333333,Day
Monitor56,ch21,62872,M,14.5,Day
Monitor56,ch22,62872,M,8.666666667,Day
Monitor56,ch23,62872,M,11.16666667,Day
Monitor56,ch24,62872,M,8.333333333,Day
Monitor56,ch25,62872,M,10.33333333,Day
Monitor56,ch26,62872,M,15.33333333,Day
Monitor56,ch27,62872,M,11.16666667,Day
Monitor56,ch28,62872,M,14.5,Day
Monitor56,ch29,62872,M,10.16666667,Day
Monitor56,ch3,62872,M,7.166666667,Day
Monitor56,ch30,62872,M,9.833333333,Day
Monitor56,ch31,62872,M,12.66666667,Day
Monitor56,ch32,62872,M,10.16666667,Day
Monitor56,ch4,62872,M,11.33333333,Day
Monitor56,ch5,62872,M,17,Day
Monitor56,ch6,62872,M,11.66666667,Day
Monitor56,ch7,62872,M,14.66666667,Day
Monitor56,ch8,62872,M,10.83333333,Day
Monitor56,ch9,62872,M,13,Day
Monitor58,ch1,62872,F,6.166666667,Day
Monitor58,ch10,62872,F,5.666666667,Day
Monitor58,ch11,62872,F,7.666666667,Day
Monitor58,ch12,62872,F,5.333333333,Day
Monitor58,ch13,62872,F,14.5,Day
Monitor58,ch14,62872,F,13.83333333,Day
Monitor58,ch15,62872,F,9.5,Day
Monitor58,ch16,62872,F,8.166666667,Day
Monitor58,ch17,62872,F,9,Day
Monitor58,ch18,62872,F,11.33333333,Day
Monitor58,ch19,62872,F,8.333333333,Day
Monitor58,ch2,62872,F,8,Day
Monitor58,ch20,62872,F,7.333333333,Day
Monitor58,ch21,62872,F,5.666666667,Day
Monitor58,ch22,62872,F,5.333333333,Day
Monitor58,ch23,62872,F,10.83333333,Day
Monitor58,ch24,62872,F,9.166666667,Day
Monitor58,ch25,62872,F,10.83333333,Day
Monitor58,ch26,62872,F,13.66666667,Day
Monitor58,ch27,62872,F,7.166666667,Day
Monitor58,ch28,62872,F,5.333333333,Day
Monitor58,ch29,62872,F,5,Day
Monitor58,ch3,62872,F,5.333333333,Day
Monitor58,ch30,62872,F,10.33333333,Day
Monitor58,ch31,62872,F,3.833333333,Day
Monitor58,ch32,62872,F,9.5,Day
Monitor58,ch5,62872,F,7.833333333,Day
Monitor58,ch6,62872,F,12.33333333,Day
