,Channel,Activity,Line,Genotype1,Genotype2,Sex
510,adj_Monitor68_ch12,1363.5714285714287,55690-32372,1,1,M
636,adj_Monitor70_ch12,1288.142857142857,64498-32372,1,1,M
330,adj_Monitor3_ch17,1278.142857142857,64498,1,0,M
366,adj_Monitor3_ch4,1227.5714285714287,64498,1,0,M
354,adj_Monitor3_ch28,1218.7142857142858,64498,1,0,M
130,adj_Monitor21_ch11,1182.2857142857142,55690,1,0,F
724,adj_Monitor77_ch24,1173.2857142857142,64498-32372,1,1,F
248,adj_Monitor22_ch7,1154.5714285714287,55690,1,0,M
672,adj_Monitor70_ch29,1116.4285714285713,64498-32372,1,1,M
564,adj_Monitor68_ch9,1108.0,55690-32372,1,1,M
346,adj_Monitor3_ch24,1081.142857142857,64498,1,0,M
660,adj_Monitor70_ch23,1075.2857142857142,64498-32372,1,1,M
336,adj_Monitor3_ch2,1058.142857142857,64498,1,0,M
686,adj_Monitor70_ch7,1045.2857142857142,64498-32372,1,1,M
344,adj_Monitor3_ch23,1043.857142857143,64498,1,0,M
454,adj_Monitor66_ch16,1032.2857142857142,32372,0,1,M
460,adj_Monitor66_ch19,1017.1428571428571,32372,0,1,M
440,adj_Monitor66_ch1,1002.5714285714286,32372,0,1,M
486,adj_Monitor66_ch30,985.5714285714286,32372,0,1,M
600,adj_Monitor69_ch25,932.4285714285714,55690-32372,1,1,F
502,adj_Monitor66_ch9,928.1428571428571,32372,0,1,M
536,adj_Monitor68_ch24,922.5714285714286,55690-32372,1,1,M
362,adj_Monitor3_ch31,916.1428571428571,64498,1,0,M
734,adj_Monitor77_ch29,906.7142857142857,64498-32372,1,1,F
250,adj_Monitor22_ch8,904.7142857142857,55690,1,0,M
556,adj_Monitor68_ch5,904.4285714285714,55690-32372,1,1,M
682,adj_Monitor70_ch5,902.1428571428571,64498-32372,1,1,M
726,adj_Monitor77_ch25,887.8571428571429,64498-32372,1,1,F
666,adj_Monitor70_ch26,881.1428571428571,64498-32372,1,1,M
144,adj_Monitor21_ch18,877.7142857142857,55690,1,0,F
650,adj_Monitor70_ch19,856.2857142857143,64498-32372,1,1,M
550,adj_Monitor68_ch31,849.4285714285714,55690-32372,1,1,M
370,adj_Monitor3_ch6,836.8571428571429,64498,1,0,M
692,adj_Monitor77_ch1,830.0,64498-32372,1,1,F
96,adj_Monitor20_ch25,828.4285714285714,64498,1,0,F
442,adj_Monitor66_ch10,828.2857142857143,32372,0,1,M
408,adj_Monitor62_ch24,819.2857142857143,32372,0,1,F
162,adj_Monitor21_ch26,812.4285714285714,55690,1,0,F
392,adj_Monitor62_ch16,802.1428571428571,32372,0,1,F
540,adj_Monitor68_ch26,800.1428571428571,55690-32372,1,1,M
430,adj_Monitor62_ch5,798.8571428571429,32372,0,1,F
474,adj_Monitor66_ch25,798.2857142857143,32372,0,1,M
356,adj_Monitor3_ch29,794.1428571428571,64498,1,0,M
530,adj_Monitor68_ch21,792.5714285714286,55690-32372,1,1,M
374,adj_Monitor3_ch8,783.4285714285714,64498,1,0,M
32,adj_Monitor1_ch24,777.7142857142857,tripsc,0,0,M
146,adj_Monitor21_ch19,777.5714285714286,55690,1,0,F
714,adj_Monitor77_ch2,764.2857142857143,64498-32372,1,1,F
446,adj_Monitor66_ch12,762.8571428571429,32372,0,1,M
158,adj_Monitor21_ch24,751.7142857142857,55690,1,0,F
124,adj_Monitor20_ch9,750.4285714285714,64498,1,0,F
718,adj_Monitor77_ch21,750.2857142857143,64498-32372,1,1,F
66,adj_Monitor20_ch11,748.5714285714286,64498,1,0,F
470,adj_Monitor66_ch23,742.4285714285714,32372,0,1,M
