,Channel,Light_status,mean_sleep_per_ind,Line,Genotype1,Genotype2,Sex
384,adj_Monitor62_ch4,Night,0.814535345512311,32372,0,1,F
385,adj_Monitor21_ch26,Night,0.940230341540905,55690,1,0,F
386,adj_Monitor21_ch17,Night,0.933478951548848,55690,1,0,F
387,adj_Monitor77_ch19,Night,0.905877680698967,64498-32372,1,1,F
388,adj_Monitor22_ch20,Night,0.899324861000794,55690,1,0,M
389,adj_Monitor3_ch23,Night,0.66143764892772,64498,1,0,M
390,adj_Monitor20_ch18,Night,0.863582208101668,64498,1,0,F
391,adj_Monitor77_ch2,Night,0.837569499602859,64498-32372,1,1,F
393,adj_Monitor68_ch31,Night,0.874305003971406,55690-32372,1,1,M
394,adj_Monitor70_ch25,Night,0.929507545671168,64498-32372,1,1,M
395,adj_Monitor1_ch24,Night,0.8395552025417,tripsc,0,0,M
396,adj_Monitor21_ch4,Night,0.92275615567911,55690,1,0,F
397,adj_Monitor20_ch14,Night,0.861795075456712,64498,1,0,F
398,adj_Monitor2_ch7,Night,0.91977760127085,tripsc,0,0,F
399,adj_Monitor21_ch19,Night,0.925536139793487,55690,1,0,F
400,adj_Monitor70_ch20,Night,0.819499602859412,64498-32372,1,1,M
401,adj_Monitor68_ch20,Night,0.733915806195393,55690-32372,1,1,M
402,adj_Monitor21_ch16,Night,0.920571882446386,55690,1,0,F
403,adj_Monitor20_ch22,Night,0.746227164416203,64498,1,0,F
404,adj_Monitor3_ch11,Night,0.818308181096108,64498,1,0,M
405,adj_Monitor70_ch23,Night,0.889396346306593,64498-32372,1,1,M
406,adj_Monitor69_ch11,Night,0.832009531374106,55690-32372,1,1,F
407,adj_Monitor66_ch5,Night,0.937648927720413,32372,0,1,M
408,adj_Monitor1_ch7,Night,0.904884829229547,tripsc,0,0,M
409,adj_Monitor20_ch30,Night,0.790905480540111,64498,1,0,F
410,adj_Monitor62_ch10,Night,0.890984908657665,32372,0,1,F
411,adj_Monitor66_ch3,Night,0.94539316918189,32372,0,1,M
412,adj_Monitor66_ch11,Night,0.876092136616362,32372,0,1,M
413,adj_Monitor2_ch1,Night,0.953137410643368,tripsc,0,0,F
414,adj_Monitor3_ch10,Night,0.901906274821287,64498,1,0,M
415,adj_Monitor1_ch4,Night,0.946584590945195,tripsc,0,0,M
416,adj_Monitor20_ch27,Night,0.88880063542494,64498,1,0,F
417,adj_Monitor21_ch31,Night,0.912231930103257,55690,1,0,F
418,adj_Monitor1_ch11,Night,0.928514694201747,tripsc,0,0,M
419,adj_Monitor62_ch2,Night,0.887609213661636,32372,0,1,F
420,adj_Monitor3_ch27,Night,0.890587768069897,64498,1,0,M
421,adj_Monitor66_ch27,Night,0.855837966640191,32372,0,1,M
422,adj_Monitor70_ch12,Night,0.783359809372518,64498-32372,1,1,M
